# SD_corrected_positions.csv
# Corrected SD positions in WGS84/ITRF, consistent with FD telescope positions
# Generated from TA_TALE_TAx4 GPS & NED.xlsx (Kido/Okuda analysis)
#
# Height correction: h_itrf = H_NED + N_geoid + h_antenna - 0.73
#   H_NED:      USGS NED orthometric height (NAVD88)
#   N_geoid:    GEOID12B undulation (NAD83 ellipsoid to NAVD88 geoid)
#   h_antenna:  SD GPS antenna height above ground (0.89 m)
#   -0.73:      NAD83 to WGS84/ITRF frame correction
#
# Horizontal coordinates: from Motorola Oncore GPS (WGS84, minimal iono effect)
# Vertical coordinate:    from NED + geoid (avoids ~5.3 m L1 ionospheric bias)
#
# outlier: 1 = outside IQR fences, likely DEM interpolation error on slopes
# iono_residual: h_gps - h_itrf (measures ionospheric height bias per station)
#
array,site,latitude,longitude,h_itrf_corrected,h_gps_raw,h_ned_ortho,N_geoid,iono_residual,outlier
TA,1204,39.162,-112.912,1367.593,1372.300,1387.490,-20.057,4.707,0
TA,1205,39.173,-112.912,1366.581,1373.690,1386.470,-20.049,7.109,0
TA,1206,39.184,-112.912,1368.101,1374.040,1387.980,-20.039,5.939,0
TA,1207,39.195,-112.912,1368.902,1374.690,1388.770,-20.028,5.788,0
TA,1208,39.206,-112.912,1369.714,1375.060,1389.570,-20.016,5.346,0
TA,1209,39.216,-112.912,1370.837,1375.960,1390.680,-20.003,5.123,0
TA,1210,39.227,-112.912,1377.618,1382.670,1397.450,-19.992,5.052,0
TA,1211,39.238,-112.912,1374.650,1379.410,1394.470,-19.980,4.760,0
TA,1212,39.249,-112.912,1373.731,1378.020,1393.540,-19.969,4.289,0
TA,1213,39.260,-112.912,1372.943,1377.730,1392.740,-19.957,4.787,0
TA,1214,39.271,-112.912,1376.524,1381.500,1396.310,-19.946,4.976,0
TA,1215,39.281,-112.912,1372.406,1377.580,1392.180,-19.934,5.174,0
TA,1216,39.292,-112.912,1372.297,1376.640,1392.060,-19.923,4.343,0
TA,1217,39.303,-112.912,1371.379,1376.330,1391.130,-19.911,4.951,0
TA,1218,39.314,-112.912,1372.061,1377.100,1391.800,-19.899,5.039,0
TA,1219,39.325,-112.912,1371.756,1377.040,1391.480,-19.884,5.284,0
TA,1220,39.335,-112.912,1371.082,1376.930,1390.790,-19.868,5.848,0
